Date,Area,Regulation
1/1/1988, ALL ," Established the coastwide Pacific ocean perch trip limit at 20\% (by weight) of all fish on board or 5,000 pounds, whichever is less; landings of Pacific ocean perch unrestricted if less than 1,000 pounds regardless of percentage on board; "
1/1/1989, ALL ," Established the coastwide Pacific ocean perch trip limit at 20\% (by weight) of all fish on board or 5,000 pounds whichever is less; "
1/1/1989, ALL ," landings of Pacific ocean perch unrestricted if less than 1,000 pounds regardless of percentage on board (Vancouver area OY =500 mt; Columbia area OY =800 mt). "
7/26/1989, ALL ," Reduced the coastwide trip limit for Pacific ocean perch to 2,000 pounds or 20\% of all fish on board, whichever is less, with no trip frequency restriction. "
12/13/1989, Columbia ,"  Closed the Pacific ocean perch fishery in the Columbia area because 1,040 mt OY reached. "
1/1/1990, ALL ," Established the coastwide Pacific ocean perch trip limit at 20\% (by weight) of all fish on board or 3,000 pounds whichever is less; landings of Pacific ocean perch be unrestricted if less than 1,000 pounds regardless of percentage on board.  (Vancouver area OY = 500 mt; Columbia area OY = 1,040 mt)."
1/1/1991, ALL ," Established the coastwide Pacific ocean perch trip limit at 20\% (by weight) of all groundfish on board or 3,000 pounds whichever is less; landings of Pacific ocean perch be unrestricted if less than 1,000 pounds regardless of percentage on board (harvest guideline for combined Vancouver and Columbia areas = 1,000 mt)."
1/1/1992, ALL ," For Pacific ocean perch, established the coastwide trip limit at 20\% (by weight) of all groundfish on board or 3,000 pounds whichever is less; landings of Pacific ocean perch be unrestricted if less than 1,000 pounds regardless of percentage on board (harvest guideline for combined Vancouver and Columbia areas = 1,550 mt)."
1/1/1993, Cape Mendocino Coos Bay ," For Pacific ocean perch, continued the coastwide trip limit at 20\% (by weight) of all groundfish on board or 3,000 pounds whichever is less; landings of Pacific ocean perch unrestricted if less than 1,000 pounds regardless of percentage on board (harvest guideline for combined Vancouver and Columbia areas = 1,550 mt)."
1/1/1994, ALL ," Pacific Ocean Perch trip limit of 3,000 pounds or 20\% of all fish on board, whichever is less, in landings of Pacific ocean perch above 1,000 pounds."
1/1/1995, ALL ," For Pacific Ocean Perch, established a cumulative trip limit of 6,000 pounds per month"
1/1/1996, ALL ," Pacific Ocean Perch cumulative trip limit of 10,000 pounds per two-month period."
7/1/1996, 4030 North ," Reduced the cumulative 2-month limit for Pacific ocean perch to 8,000 pounds, and established the cumulative 2-month limit for Dover sole north of Cape Mendocino at 38,000 pounds"
1/1/1997, ALL ," Pacific Ocean Perch  limited entry fishery cumulative trip limit of 8,000 pounds per two-month period"
1/1/1998, ALL ," Pacific Ocean Perch:  limited entry fishery Cumulative trip limit of 8,000 pounds per two-month period."
7/1/1998, ALL ," Open Access Rockfish: removed overall rockfish monthly limit and replaced it with limits for component rockfish species: for Sebastes complex, monthly cumulative limit is 33,000 pounds, for widow rockfish, monthly cumulative trip limit is 3,000 pounds, for Pacific Ocean Perch, monthly cumulative trip limit is 4,000 pounds."
1/1/1999, ALL ," for the limited entry fishery  A new three phase cumulative limit period system is introduced for 1999.  Phase 1 is a single cumulative limit period that is 3 months long, from January 1 - March 31.  Phase 2 has 3 separate 2 month cumulative limit periods of April 1 -  May 31, June 1 -  July 31, and August 1 - September 30.  Phase 3 has 3 separate 1 month cumulative limit periods of October 1-31, November 1-30, and December 1-31.  For all species except Pacific ocean perch and Bocaccio, there will be no monthly limit within the cumulative landings limit periods.  An option to apply cumulative trip limits lagged by 2 weeks (from the 16th to the 15th) was made available to limited entry trawl vessels when their permits were renewed for 1999.  Vessels that are authorized to operate in this ""B"" platoon may take and retain, but may not land, groundfish during January 1-15, 1999."
1/1/1999, ALL ," for the limited entry fishery Pacific Ocean Perch: cumulative limit, Phase 1: 4,000 pounds per month; Phase 2: 4,000 pounds per month; Phase 3: 4,000 pounds per month."
1/1/1999, ALL ," for open access gear: Pacific Ocean Perch: coastwide, 100 pounds per month."
1/1/2000, ALL ," Limited entry trawl, Pacific Ocean Perch, 500 lbs per month"
1/1/2000, ALL ," Pacific Ocean Perch, Open Access gear except exempted trawl, 100 lbs per month"
1/1/2000, ALL ," Pacific Ocean Perch, limited entry fixed gear, 500 lbs per month"
5/1/2000, ALL ," Limited entry trawl, Pacific Ocean Perch, 2500 lbs per 2 months"
5/1/2000, ALL ," Pacific Ocean Perch, limited entry fixed gear, 2500 lbs per month"
11/1/2000, ALL ," Limited entry trawl, Pacific Ocean Perch, 500 lbs per month"
11/1/2000, ALL ," Pacific Ocean Perch, limited entry fixed gear, 500 lbs per month"
1/1/2001, 3600 North ," Pacific Ocean Perch, open access, 100 lbs per month"
1/1/2001, 4010 North ," Pacific Ocean Perch, limited entry trawl, 1500 lbs per mont"
1/1/2001, ALL ," Pacific Ocean Perch, limited entry fixed gear,  1500 lbs per month"
5/1/2001, 4010 North ," Pacific Ocean Perch, limited entry trawl,  2500 lbs per month"
5/1/2001, ALL ," Pacific Ocean Perch, limited entry fixed gear,  2500 lbs per month"
10/1/2001, 4010 North ," Pacific Ocean Perch, limited entry trawl, 1500 lbs per month"
11/1/2001, ALL ," Pacific Ocean Perch, limited entry fixed gear,  1500 lbs per month"
1/1/2002, 4010 North ," Pacific Ocean Perch, open access, 100 lbs per month"
1/1/2002, 4010 North ," Pacific Ocean Perch, limited entry fixed gear, 2000 lbs per month"
1/1/2002, 4010 North ," Pacific Ocean Perch, limited entry trawl, 2000 lbs per month"
4/1/2002, 4010 North ," Pacific Ocean Perch, limited entry fixed gear, 4000 lbs per month"
5/1/2002, 4010 North ," Pacific Ocean Perch, limited entry trawl, 4000 lbs per month"
11/1/2002, 4010 North ," Pacific Ocean Perch, limited entry fixed gear, 2000 lbs per month"
11/1/2002, 4010 North ," Pacific Ocean Perch, limited entry trawl, 2000 lbs per month"
1/1/2003, 3800 South ," minor slope rockfish south including pacific ocean perch, open access gear, 10000 lbs per 2 months"
1/1/2003, 3800 South ," Minor slope rockfish south including Pacific ocean perch, limited entry fixed gear, 30000 lbs per 2 months"
1/1/2003, 3800 South ," Minor slope rockfish south including Pacific ocean perch , limited entry trawl, 30000 lbs per 2 months"
1/1/2003, 3800 4010 ," minor slope rockfish south including pacific ocean perch, open access gear, per trip no more than 25\% (by weight) of sablefish landed"
1/1/2003, 3800 4010 ," Minor slope rockfish south including Pacific ocean perch, limited entry fixed gear, 1800 lbs per 2 months"
1/1/2003, 3800 4010 ," Minor slope rockfish south including Pacific ocean perch , limited entry trawl, 1800 lbs per 2 months"
1/1/2003, 4010 North ," pacific ocean perch, open access gears, 100 lbs per month"
1/1/2003, 4010 North ," pacific ocean perch, limited entry fixed gear, 1800 lbs per 2 months"
1/1/2003, 4010 North ," Pacific Ocean Perch, Limited entry trawl gear, 3000 lbs per 2 months"
3/1/2003, 3800 4010 ," Minor slope rockfish south including Pacific ocean perch, limited entry fixed gear, no more than 25\% of the weight of sablefish landed per trip"
11/1/2003, 3800 4010 ," Minor slope rockfish south including Pacific ocean perch, limited entry fixed gear, 1800 lbs per 2 months"
1/1/2004, 3800 South ," Minor slope rockfish south including Pacific ocean perch, open access gear, 10000 lbs per 2 months"
1/1/2004, 3800 South ," minor slope rockfish south inclding pacific ocean perch, limited entry fixed gear,  40000 lbs per 2 months"
1/1/2004, 3800 South ," minor slope rockfish south including pacific ocean perch, limited entry trawl, 40000 lbs per 2 months"
1/1/2004, 3800 4010 ," Minor slope rockfish south including Pacific ocean perch, open access gear, per trip no more than 25\% of the weight of sablefish landed"
1/1/2004, 3800 4010 ," minor slope rockfish south including pacific ocean perch, limited entry fixed gear, 7000 lbs per 2 months"
1/1/2004, 3800 4010 ," minor slope rockfish south including pacific ocean perch, limited entry trawl, 7000 lbs per 2 months"
1/1/2004, 4010 North ," pacific ocean perch, open access gear, 100 lbs per month"
1/1/2004, 4010 North ," pacific ocean perch, limited entry fixed gear, 1800 lbs per 2 months"
1/1/2004, 4010 North ," pacific ocean perch, limited entry trawl, 3000 lbs per 2 months"
5/1/2004, 3800 South ," minor slope rockfish south inclding pacific ocean perch, limited entry fixed gear, 50000 lbs per 2 months"
5/1/2004, 3800 South ," minor slope rockfish south including pacific ocean perch, limited entry trawl, 50000 lbs per 2 months"
5/1/2004, 3800 4010 ," minor slope rockfish south including pacific ocean perch, limited entry fixed gear,  50000 lbs per 2 months"
5/1/2004, 3800 4010 ," minor slope rockfish south including pacific ocean perch, limited entry trawl, 50000 lbs per 2 months"
11/1/2004, 3800 South ," minor slope rockfish south inclding pacific ocean perch, limited entry fixed gear, 50000 lbs per 2 months"
11/1/2004, 3800 South ," minor slope rockfish south including pacific ocean perch, limited entry trawl, 50000 lbs per 2 months"
11/1/2004, 3800 4010 ," minor slope rockfish south including pacific ocean perch, limited entry fixed gear, 10000 lbs per 2 months"
11/1/2004, 3800 4010 ," minor slope rockfish south including pacific ocean perch, limited entry trawl, 10000 lbs per 2 months"
1/1/2005, 3800 South ," minor slope rockfish south including darkblotched and pacific ocean perch, open access gear, 10000 lbs per 2 months"
1/1/2005, 3800 South ," minor slope rockfish south including darkblotched rockfish and pacific ocean perch, limited entry trawl, closed"
1/1/2005, 3800 4010 ," minor slope rockfish south including darkblotched and pacific ocean perch, open access gear, per trip no more than 25\% of weight of sablefish onboard"
1/1/2005, 3800 4010 ," minor slope rockfish south including darkblotched rockfish and pacific ocean perch, limited entry trawl, 4000 lbs per 2 months"
1/1/2005, 4010 North ," pacific ocean perch, open access gears, 100 lbs per month"
1/1/2005, 4010 North ," pacific ocean perch, limited entry trawl gear, 3000 lbs per 2 months"
1/1/2005, 4010 North ," pacific ocean perch, limited entry fixed gear, 1800 lbs per 2 months"
1/1/2005, 4010 South ," minor slope rockfish south including darkblotched and pacific ocean perch, limited entry fixed gear, 40000 lbs per 2 months"
5/1/2005, 3800 4010 ," minor slope rockfish south including darkblotched rockfish and pacific ocean perch, limited entry trawl, 8000 lbs per 2 months"
7/1/2005, 3800 4010 ," minor slope south rockfish including darkblotched rockfish and pacific ocean perch, limited entry trawl, 20000 lbs per 2 months"
9/1/2005, 3800 4010 ," minor slope south rockfish including darkblotched rockfish and pacific ocean perch, limited entry trawl, 8000 lbs per 2 months"
12/1/2005, 3800 South ," minor slope rockfish south including darkblotched rockfish and pacific ocean perch, limited entry trawl, closed"
12/1/2005, 3800 4010 ," minor slope south rockfish including darkblotched rockfish and pacific ocean perch, limited entry trawl, 8000 lbs per 2 months"
1/1/2006, 3800 South ," minor slope rockfish south including pacific ocean perch and darkblotched, open access gear, 10000 lbs per 2 months"
1/1/2006, 3800 South ," minor slope rockfish south including pacific ocean perch and darkblotched rockfish, limited entry trawl, 20000 lbs per month"
1/1/2006, 3800 4010 ," minor slope rockfish south including pacific ocean perch and darkblotched, open access gear, per trip, no more than 25\% (by weight) of landed sablefish"
1/1/2006, 3800 4010 ," minor slope rockfish south including pacific ocean perch and darkblotched rockfish, limited entry trawl, 4000 lbs per month"
1/1/2006, 4010 North ," pacific ocean perch, open access gear, 100 lbs per month"
1/1/2006, 4010 North ," pacific ocean perch, limited entry fixed gear, 1800 lbs per 2 months"
1/1/2006, 4010 North ," pacific ocean perch, limited entry trawl, 1500 lbs per month"
1/1/2006, 4010 South ," minor slope rockfish south including pacific ocean perch and darkblotched rockfish, limited entry fixed gear, 40000 lbs per 2 months"
3/1/2006, 3800 South ," minor slope rockfish south including pacific ocean perch and darkblotched rockfish, limited entry trawl, 40000 lbs per 2 months"
3/1/2006, 3800 4010 ," minor slope rockfish south including pacific ocean perch and darkblotched rockfish, limited entry trawl, 8000 lbs per 2 months"
3/1/2006, 4010 North ," pacific ocean perch, limited entry trawl, 3000 lbs per 2 months"
7/1/2006, 3800 4010 ," minor slope rockfish south including pacific ocean perch and darkblotched rockfish, limited entry trawl, 1000 lbs per 2 months"
1/1/2007, 4010 North ," pacific ocean perch, limited entry fixed gear, 1800 lbs per 2 months"
1/1/2007, 4010 South ," minor slope rockfish south including pacific ocean perch and darkblotched, limited entry fixed gear, 40000 lbs per 2 months"
1/1/2007, 3800 4010 ," minor slope rockfish south including pacific ocean perch and darkblotched rockfish, open access gear,  per trip no more than 25\% (by weight) of sablefish landed"
1/1/2007, 4010 North ," pacific ocean perch, open access gears, 100 lbs per month"
1/1/2007, 3800 South ," minor slope rockfish south including pacific ocean perch and darkblotched rockfish, limited entry trawl, 40000 lbs per 2 months"
1/1/2007, 3800 4010 ," minor slope rockfish south including pacific ocean perch and darkblotched rockfish, limited entry trawl, 15000 lbs per 2 months"
1/1/2007, 4010 North ," pacific ocean perch, limited entry trawl, 3000 lbs per 2 months"
7/1/2007, 3800 4010 ," minor slope rockfish south including pacific ocean perch and darkblotched rockfish, limited entry trawl, 10000 lbs per 2 months"
8/1/2007, 3800 South ," minor slope rockfish south including pacific ocean perch and darkblotched rockfish, open access gear, 10000 lbs per 2 months"
9/1/2007, 3800 South ," minor slope rockfish south including pacific ocean perch and darkblotched rockfish, limited entry trawl, 55000 lbs per 2 months"
11/1/2007, 3800 4010 ," minor slope rockfish south including pacific ocean perch and darkblotched rockfish, limited entry trawl, 15000 lbs per 2 months"
1/1/2008, 4010 North ," pacific ocean perch, limited entry fixed gear, 1800 lbs per 2 months"
1/1/2008, 4010 South ," minor slope rockfish south including pacific ocean perch and darkblotched,limited  entry fixed gear, 40000 lbs per 2 months"
1/1/2008, 3800 South ," minor slope rockfish south including pacific ocean perch and darkblotched rockfish, open access gear, 10000 lbs per 2 months"
1/1/2008, 3800 4010 ," minor slope rockfish south including pacific ocean perch and darkblotched rockfish, open access gear,  per trip no more than 25\% (by weight) of sablefish landed"
1/1/2008, 4010 North ," pacific ocean perch, open access gears, 100 lbs per month"
1/1/2008, 3800 South ," minor slope rockfish south including pacific ocean perch and darkblotched rockfish, limited entry trawl, 55000 lbs per 2 months"
1/1/2008, 3800 4010 ," minor slope rockfish south including pacific ocean perch and darkblotched rockfish, limited entry trawl, 15000 lbs per 2 months"
1/1/2008, 4010 North ," pacific ocean perch, limited entry trawl, 1500 lbs per 2 months"
1/1/2009, 4010 North ," pacific ocean perch, limited entry fixed gear, 1800 lbs per 2 months"
1/1/2009, 4010 South ," minor slope rockfish south including pacific ocean perch and darkblotched, limited entry fixed gear, 40000 lbs per 2 months"
1/1/2009, 3800 South ," minor slope rockfish south including pacific ocean perch and darkblotched rockfish, open access gear, 10000 lbs per 2 months"
1/1/2009, 3800 4010 ," minor slope rockfish south including pacific ocean perch and darkblotched rockfish, open access gear,  per trip no more than 25\% (by weight) of sablefish landed"
1/1/2009, 4010 North ," pacific ocean perch, open access gears, 100 lbs per month"
1/1/2009, 3800 South ," minor slope rockfish southincluding pacific ocean perch and darkblotched rockfish, limited entry trawl, 55000 lbs per 2 months"
1/1/2009, 3800 4010 ," minor slope rockfish south including pacific ocean perch and darkblotched rockfish, limited entry trawl, 15000 lbs per 2 months"
1/1/2009, 4010 North ," pacific ocean perch, limited entry trawl, 1500 lbs per 2 months"
7/1/2009, 3800 4010 ," minor slope rockfish south including pacific ocean perch and darkblotched rockfish, limited entry trawl, 10000 lbs per 2 months"
11/1/2009, 3800 4010 ," minor slope rockfish south including pacific ocean perch and darkblotched rockfish, limited entry trawl, 15000 lbs per 2 months"
1/1/2010, 4010 North ," pacific ocean perch, limited entry fixed gear, 1800 lbs per 2 months"
1/1/2010, 4010 South ," minor slope rockfish south including pacific ocean perch and darkblotched,limited  entry fixed gear, 40000 lbs per 2 months"
1/1/2010, 3800 South ," minor slope rockfish south including pacific ocean perch and darkblotched rockfish, open access gear, 10000 lbs per 2 months"
1/1/2010, 3800 4010 ," minor slope rockfish south including pacific ocean perch and darkblotched rockfish, open access gear,  per trip no more than 25\% (by weight) of sablefish landed"
1/1/2010, 4010 North ," pacific ocean perch, open access gears, 100 lbs per month"
1/1/2010, 3800 South ," minor slope rockfish south including pacific ocean perch and darkblotched rockfish, limited entry trawl, 55000 lbs per 2 months"
1/1/2010, 3800 4010 ," minor slope rockfish south including pacific ocean perch and darkblotched rockfish, limited entry trawl, 15000 lbs per 2 months"
1/1/2010, 4010 North ," pacific ocean perch, limited entry trawl, 1500 lbs per 2 months"
1/1/2011, 4010 North ," pacific ocean perch, limited entry fixed gear, 1800 lbs per 2 months"
1/1/2011, 4010 South ," minor slope rockfish south including pacific ocean perch and darkblotched, limited entry fixed gear, 40000 lbs per 2 months"
1/1/2011, 3800 South ," minor slope rockfish south including pacific ocean perch and darkblotched rockfish, open access gear, 10000 lbs per 2 months"
1/1/2011, 3800 4010 ," minor slope rockfish south including pacific ocean perch and darkblotched rockfish, open access gear,  per trip no more than 25\% (by weight) of sablefish landed"
1/1/2011, 4010 North ," pacific ocean perch, open access gears, 100 lbs per month"
1/1/2011, ALL , Pacific Ocean Perch managed in part by IFQ
1/1/2012, 4010 North ," pacific ocean perch, limited entry fixed gear, 1800 lbs per 2 months"
1/1/2012, 4010 South ," minor slope rockfish southincluding pacific ocean perch and darkblotched, limited entry fixed gear, 40000 lbs per 2 months"
1/1/2012, 3800 South ," minor slope rockfish south including pacific ocean perch and darkblotched rockfish, open access gear, 10000 lbs per 2 months"
1/1/2012, 3800 4010 ," minor slope rockfish south including pacific ocean perch and darkblotched rockfish, open access gear,  per trip no more than 25\% (by weight) of sablefish landed"
1/1/2012, 4010 North ," pacific ocean perch, open access gears, 100 lbs per month"
1/1/2013, 4010 North ," pacific ocean perch, open access gears, 100 lbs per month"
1/1/2013, 4010 North ," pacific ocean perch, limited entry fixed gear, 1800 lbs per 2 months"
1/1/2013, 4010 South ," minor slope rockfish south including pacific ocean perch and darkblotched, limited entry fixed gear, 40000 lbs per 2 months no more than 1375 lbs may be blackgill"
1/1/2013, 4010 South ," minor slope rockfish south including pacific ocean perch and darkblotched rockfish, open access gear,  10000 lbs per 2 months no more than 475 lbs of which may be blackgill rockfish"
1/1/2014, 4010 North ," non-trawl, limited entry, pacific ocean perch, 1800 lbs per 2 months"
1/1/2014, 4010 South ," non-trawl, limited entry, minor slope rockfish and darkblotched rockfish and pacific ocean perch, 40000 lbs per 2 months of which no more than 1375 lbs may be blackgill rockfish"
1/1/2014, 4010 North ," non-trawl, open access, pacific ocean perch, 100 lbs per month"
1/1/2014, 4010 South ," non-trawl, open access, minor slope rockfish including darkblotched rockfishand pacific ocean perch, 10000 lbs per 2 months of which no more than 475 lbs may be blackgill rockfish"
1/1/2015, 4010 North ," non-trawl, limited entry, pacific ocean perch, 1800 lbs per 2 months"
1/1/2015, 4010 South ," non-trawl, limited entry, minor slope rockfish and darkblotched rockfish and pacific ocean perch, 40000 lbs per 2 months of which no more than 1375 lbs may be blackgill rockfish"
1/1/2015, 4010 North ," non-trawl, open access, pacific ocean perch, 100 lbs per month"
1/1/2015, 4010 South ," non-trawl, open access, minor slope rockfish including darkblotched rockfishand pacific ocean perch, 10000 lbs per 2 months of which no more than 475 lbs may be blackgill rockfish"
7/1/2015, 4010 South ," non-trawl, limited entry, minor slope rockfish and darkblotched rockfish and pacific ocean perch, 40000 lbs per 2 months of which no more than 1600 lbs may be blackgill rockfish"
7/1/2015, 4010 South ," non-trawl, open access, minor slope rockfish including darkblotched rockfishand pacific ocean perch, 10000 lbs per 2 months of which no more than 550 lbs may be blackgill rockfish"
1/1/2016, 4010 North ," non-trawl, limited entry, pacific ocean perch, 1800 lbs per 2 months"
1/1/2016, 4010 North ," non-trawl, open access, pacific ocean perch, 100 lbs per month"
1/1/2016, 4010 South ," non-trawl, open access, minor slope rockfish including darkblotched rockfishand pacific ocean perch, 10000 lbs per 2 months of which no more than 475 lbs may be blackgill rockfish"
7/1/2016, 4010 South ," non-trawl, open access, minor slope rockfish including darkblotched rockfishand pacific ocean perch, 10000 lbs per 2 months of which no more than 550 lbs may be blackgill rockfish"
